scopeid,inventarisnummer,aantal_scans
919088,730B,641
314803,731A,577
314804,731B,551
314805,732A,499
314806,732B,610
919089,733A,693
919090,733B,522
314808,734A,549
314809,734B,647
314810,734C,637
314813,735,95
314814,736,94
314815,737,267
314816,738,193
314817,739,195
314818,740,190
314819,741,189
314820,742,59
314821,743,58
314823,744,96
314824,745,94
314825,746,110
314826,747,658
314829,748,124
314830,749,238
314832,750,732
314833,751,733
314862,752,347
314836,753,229
314837,754,392
314838,755,333
314839,756,129
314840,757,417
314841,758,301
314842,759,418
314843,760,592
314844,761,605
314845,762,600
314863,763,681
314864,764,721
314846,765,294
314847,766,247
314848,767,219
314849,768A,322
314850,768B,435
314851,769,461
314852,770,509
314853,771,382
314854,772,627
314855,773,491
314856,774,240
314857,775,240
314858,776,218
314859,777,248
314860,778,288
314861,779,330
314867,780,504
314868,781,734
314869,782,827
314870,783,1009
314871,784,855
314872,785A,600
314873,785B,647
314874,786A,488
314875,786B,566
314876,787,990
314877,788,1131
314878,789,1169
314879,790,1096
314880,791,1287
314881,792,982
314882,793,925
314883,794,1121
314884,795,848
314885,796,522
314886,797,406
314887,798,468
314888,799,402
314889,800,412
314890,801,550
314891,802,694
314892,803A,261
314893,803B,570
314894,804,679
314895,805,469
314896,806,553
314897,807,656
314898,808,467
314899,809,671
314900,810,671
314901,811A,437
314902,811B,445
314903,812,520
314904,813,492
314905,814,326
314906,815A,396
314907,815B,450
314908,816,738
314909,817,550
314910,818,457
314911,819,655
314912,820,610
314913,821,685
314914,822,550
314915,823,580
314916,824,648
314917,825,617
314920,826,228
314921,827,179
314922,828,191
314923,829,282
314924,830,282
314925,831,286
314926,832,273
314927,833,243
314928,834,192
314930,835A,0
314931,835B,365
314932,836,795
314933,837,649
314938,837A,132
314939,837B,257
314940,837C,0
64764773,838A,330
64764774,838B,464
314943,839,1321
64764775,840AA,569
64764776,840AB,282
64764777,840B,429
314945,841,0
64764778,841A,336
64764779,841B,316
314947,842,1194
314948,843,1425
64764783,844A,484
64764784,844B,386
314952,845,238
314953,846,281
314954,847,555
314955,848,674
314956,849,408
314959,850,61
314960,851,144
314961,852,205
314962,853,244
314963,854,48
314965,855A,572
314966,855B,576
314967,856,926
314969,857,162
314972,858,240
314974,859,270
314975,860,345
314976,861,420
314977,862,432
314978,863,424
314979,864,441
314980,865,551
314981,866,426
314982,867,469
314983,868,322
314984,869,494
314986,870,465
314987,871,584
314988,872,504
314989,873,410
314990,874,467
314991,875,379
314992,876,419
314993,877,289
314994,878,451
314995,879,405
314996,880,508
314997,881,453
314998,882,412
315000,883,476
315001,884,600
315002,885,797
315003,886,794
315004,887,763
315005,888,605
315006,889,636
315007,890,600
315008,891,727
919094,892A,577
919095,892B,430
315010,893,872
315011,894,495
315012,895,565
315013,896A,444
315014,896B,411
315015,897,719
315016,898,845
315017,899,758
315018,900,784
315019,901,553
315020,902A,491
315021,902B,449
315022,903,856
315023,904A,0
315024,904B,495
315025,905A,537
315026,905B,0
315027,906,426
315028,907,586
315029,908,0
315030,909,589
315035,910AA,0
79128247,910AB,0
315036,910B,0
315037,911,809
315040,912,104
315041,913,239
315042,914,193
315043,915,345
315044,916,320
315045,917,361
315046,918,563
315047,919,455
315048,920,372
315049,921,425
315050,922,307
315051,923,0
315052,924,0
315053,925,0
315054,926,0
315055,926A,0
315056,927,0
315058,928,0
315059,929A,0
315060,929B,0
315061,930,793
315062,931,0
315063,932,0
315064,933,1049
315065,934,0
315066,935A,0
315067,935B,0
315068,936,0
315069,937,0
919097,938A,0
919098,938B,0
919099,939A,315
919100,939B,0
315072,940,0
315075,941,598
315076,942,1178
315079,943,696
315080,944,708
315083,945,106
315084,946,879
64764861,947A,540
64764862,947B,190
64764863,948A,272
64764864,948B,462
65027096,949A,522
65027097,949B,552
65027098,950A,308
65027099,950B,344
64701438,951A,408
64701439,951B,435
64701440,951C,415
315092,952,456
65027100,953A,448
65027101,953B,364
65027102,954A,540
65027103,954B,434
65027107,955A,420
65027105,955B,414
65027106,955C,278
65027108,956A,382
65027109,956B,422
65027110,957A,500
65027111,957B,442
65027112,958A,526
65027113,958B,268
65027118,959A,366
65027119,959BA,448
65027243,959BB,328
65027244,960A,486
65027245,960B,342
65027246,961A,408
65027247,961B,366
65027248,961C,422
65027258,962A,388
65027259,962B,430
65027262,963A,402
65027263,963B,400
65027264,964A,408
65027265,964B,500
315105,965,444
65027267,966A,319
65027268,966B,468
315107,967,274
65027269,968A,398
65027270,968B,404
65027478,969A,384
65027479,969B,294
315110,970A,186
315111,970B,540
65027481,971A,588
65027482,971B,368
65027483,971C,446
65027484,972A,516
65027485,972B,472
315114,973A,390
315115,973B,446
65027486,974A,304
65027487,974B,380
65027488,974C,328
65238214,975A,381
65238215,975B,442
65238216,975C,453
67541894,976A,284
67541921,976B,334
67543532,977A,557
67543539,977B,484
67544444,978A,556
67545219,978B,388
315121,979,218
315122,980,247
315123,981,192
315124,982,506
315125,983A,552
315126,983B,162
67546793,984A,336
67546794,984B,340
67546796,985A,240
67546797,985B,404
315129,986,574
315130,987,412
315132,988,438
315133,989,702
315134,990,156
315136,991A,416
315137,991B,450
315138,992A,425
315139,992B,422
315140,993A,378
315141,993B,391
315142,994A,395
315143,994B,337
67546934,995A,490
67546942,995B,630
67546948,995C,436
315147,996A,614
315148,996BA,526
67554428,996BB,526
67554437,996BC,422
315149,997A,438
67554682,997B,623
67554683,997C,403
315150,998A,547
67554684,998B,535
67554685,998C,594
67554687,999A,380
67554688,999B,416
315151,999C,416
315152,1000,750
67554689,1001A,502
67554690,1001B,518
315154,1001C,496
315155,1002A,442
67554691,1002B,600
315156,1003,0
315157,1004A,579
67554692,1004B,430
67554693,1004C,403
315159,1005A,428
67554694,1005B,444
315160,1006A,338
67554745,1006B,354
315161,1007A,423
67554746,1007B,516
315162,1008A,416
67554749,1008B,282
67554750,1008C,341
67554754,1009A,290
67554755,1009B,349
67554756,1009C,352
67554758,1010A,302
67554759,1010B,357
67554760,1011A,443
67554761,1011B,367
67554762,1012A,300
67554763,1012B,416
67554764,1013A,433
67554765,1013B,336
67554766,1014A,372
67554767,1014B,260
67554790,1015A,449
67554791,1015B,262
67554792,1015C,434
67554798,1016A,584
67554799,1016B,375
67554801,1017A,431
67554802,1017B,232
67554807,1018A,448
67554809,1018B,326
315173,1019,0
74698743,1019A,566
74698803,1019B,534
315174,1020,86
315176,1021A,732
315177,1021B,607
91535580,1022,247
315181,1023,289
315183,1024A,0
315184,1024B,0
315185,1024C,0
315186,1024D,139
315187,1024E,158
315188,1024F,95
315189,1024G,138
315192,1025A,0
315193,1025B,0
315194,1025C,0
315195,1025D,78
315196,1025E,0
315190,1025F,0
315191,1025G,0
20442852,1025H,0
20442853,1025I,0
20442854,1025J,0
20442855,1025K,0
315197,1026A,0
315198,1026B,0
315199,1027A,500
315200,1027B,431
315201,1028A,458
315202,1028B,0
315203,1029A,445
315204,1029B,386
315205,1030,757
315206,1031,705
315207,1032,764
315208,1033,0
315209,1034,177
919108,1035,0
919109,1036,0
919110,1037,0
315212,1038,0
57806706,1038A,0
57976543,1038B,0
57888595,1038C,87
315215,1039,189
315216,1040,285
315217,1041,319
315218,1042,149
315219,1043,158
315220,1044,462
315221,1045,477
315222,1046,129
315223,1047,136
315224,1048,152
315225,1049,245
315226,1050,144
315227,1051,100
315228,1052,196
315229,1053,193
315230,1054,139
315231,1055,293
315232,1056,289
315233,1057,112
315234,1058,230
315235,1059,241
315236,1060,407
315237,1061,303
315238,1062,302
315239,1063,312
315240,1064,380
315241,1065,383
315242,1066,299
315243,1067,311
315244,1068,283
315245,1069,317
315246,1070,184
315247,1071,159
315248,1072,322
315249,1073,320
315250,1074,315
315251,1075,303
315252,1076,283
315253,1077,287
315254,1078,297
315255,1079,359
315256,1080,200
315257,1081,283
315258,1082,285
315259,1083,326
315260,1084,421
315261,1085,409
315262,1086,291
315263,1087,284
315264,1088,497
315265,1089,472
315266,1090,459
315267,1091,142
315268,1092,117
315269,1093,498
315270,1094,553
315271,1095,443
315272,1096,442
315273,1097,537
315274,1098,490
315275,1099,551
315276,1100,443
315277,1101,355
315278,1102,320
315279,1103,427
315280,1104,354
315281,1105,302
315282,1106,313
315283,1107,342
315284,1108,326
315285,1109,300
315286,1110,307
315287,1111,62
315289,1112,290
315290,1113,331
315291,1114,471
315292,1115,398
315293,1116,404
315294,1117,298
315295,1118,355
315296,1119,395
315297,1120,332
315298,1121,326
315299,1122,298
315300,1123,388
315301,1124,333
315302,1125,421
315303,1126,367
315304,1127,341
315305,1128,346
315306,1129,324
315307,1130,307
315308,1131,380
315309,1132,349
315310,1133,344
315311,1134,400
315312,1135,502
315313,1136,430
315314,1137,389
315315,1138,373
315316,1139,391
315317,1140,397
315318,1141,369
315319,1142,354
315320,1143,328
315321,1144,346
315322,1145,358
315323,1146,319
315324,1147,337
315325,1148,275
315326,1149,245
315327,1150,298
315328,1151,398
315329,1152,400
315330,1153,387
315331,1154,417
315332,1155,312
315333,1156,80
315335,1157,218
315336,1158,153
315337,1159,185
315338,1160,280
315339,1161,280
315340,1162,278
315341,1163,286
315342,1164,360
315343,1165,285
315344,1166,65
315345,1167,157
315346,1168,98
315347,1169,192
57976598,1169A,0
57976599,1169B,288
58013190,1169C,330
58013273,1169D,228
315350,1170,124
315351,1171,119
315352,1172,146
315353,1173,186
315354,1174,168
315355,1175,286
315356,1176,187
315357,1177,169
315358,1178,248
315359,1179,186
315360,1180,141
315362,1181,483
315363,1182,530
315364,1183,134
315366,1184,204
315367,1185,164
315368,1186,162
315369,1187,162
315370,1188,219
315371,1189,226
315372,1190,190
315373,1191,189
315374,1192,166
315375,1193,192
315376,1194,221
315377,1195,222
315378,1196,178
315379,1197,207
315380,1198,192
919112,1199,316
315381,1200,339
315382,1201,242
315383,1202,349
315384,1203,262
315385,1204,215
315386,1205,260
315387,1206,194
315388,1207,153
315389,1208,162
315390,1209,309
315391,1210,311
315392,1211,283
315393,1212,260
315394,1213,209
315395,1214,231
315396,1215,169
315398,1216,893
315399,1217,764
315400,1218A,485
315401,1218B,510
315402,1219,650
315403,1220,594
315404,1221A,384
315405,1221B,497
315406,1222A,408
315407,1222B,385
315408,1223A,408
315409,1223B,361
315412,1224,149
315413,1225,137
315414,1226,145
315415,1227,145
315416,1228,143
315417,1229,200
315418,1230,131
315419,1231,201
315420,1232,192
315421,1233,140
315422,1234,192
315423,1235,63
315425,1236,51
315426,1237,51
315427,1238,48
315428,1239,47
315429,1240,47
315430,1241,47
315431,1242,51
315432,1243,50
315433,1244,49
315434,1245,48
315435,1246,49
315436,1247,42
315437,1248,50
315438,1249,50
315439,1250,48
315440,1251,50
315441,1252,52
315442,1253,49
315443,1254,52
315445,1255,49
315446,1256,47
315447,1257,48
315448,1258,29
315449,1259,50
315450,1260,36
315451,1261A,625
315452,1261B,407
315454,1262,8
315456,1263,62
315459,1264A,575
315460,1264B,560
315461,1265A,556
315462,1265B,537
315464,1266,457
315465,1267,616
315466,1268,294
315467,1269A,477
315468,1269B,660
315469,1270A,483
315470,1270B,559
315472,1271,768
315473,1272,702
315474,1273,747
315476,1274,532
315477,1275,835
315479,1276,957
919113,1277A,581
919114,1277B,605
315482,1278,212
315484,1279,111
315485,1280,208
315486,1281,85
315487,1282,90
315488,1283,142
315489,1284,96
315490,1285,190
315491,1286,50
315492,1287,195
315493,1288,72
315494,1289,202
315495,1290,69
315496,1291,210
315497,1292,57
315498,1293,241
315499,1294,230
315500,1295,247
315501,1296,247
315502,1297,59
315503,1298,238
315504,1299,55
315505,1300,272
315506,1301,254
315507,1302,58
315508,1303,286
315509,1304,297
315510,1305,149
315511,1306,269
315512,1307,148
315513,1308,125
315514,1309,52
315515,1310,326
315517,1311,432
315523,1312,369
315524,1313,243
315525,1314,253
315526,1315,156
315527,1316,108
315528,1317,249
315529,1318,197
315530,1319,179
315531,1320,222
315532,1321,199
315533,1322,229
315534,1323,239
315535,1324,124
315536,1325,242
315537,1326,88
315538,1327,66
315539,1328,46
315540,1329,147
315541,1330,136
315542,1331,60
315544,1332,157
315545,1333,92
315546,1334,75
315547,1335,121
315548,1336,100
315549,1337,104
315550,1338,103
315551,1339,123
315552,1340,117
315553,1341,92
315554,1342,107
315555,1343,106
315556,1344,32
315557,1345,121
315558,1346,107
315559,1347,110
315560,1348,37
315561,1349,104
315562,1350,31
315563,1351,76
315564,1352,103
315565,1353,90
315566,1354,98
315568,1355,142
315569,1356,73
315570,1357,143
315571,1358,148
315572,1359,144
315573,1360,140
315574,1361,147
315575,1362,143
315576,1363,143
315577,1364,141
315578,1365,63
315579,1366,144
315580,1367,128
315581,1368,144
315582,1369,142
315583,1370,61
315584,1371,141
315585,1372,48
315597,1373A,52
315598,1373B,55
315599,1373C,58
315600,1373D,36
315601,1373E,52
315602,1373F,27
315603,1373G,17
315604,1373H,11
315605,1373I,34
315606,1373K,28
315608,1374,105
315609,1375,87
315610,1376,75
315611,1377,144
315612,1378,119
315613,1379,59
315614,1380,85
315615,1381,103
315616,1382,70
315617,1383,90
315618,1384,123
315619,1385,103
315620,1386,95
315621,1387,104
315622,1388,94
315623,1389,136
315624,1390,101
315625,1391,85
315626,1392,124
315627,1393,134
315628,1394,77
315629,1395,97
315630,1396,98
315631,1397,86
315632,1398,102
315633,1399,98
315634,1400,65
315635,1401,95
315636,1402,43
315637,1403,119
315638,1404,29
315639,1405,90
315640,1406,71
315643,1407,231
315644,1408,179
315645,1409,188
315646,1410,228
315647,1411,103
315649,1412,481
